,Title,Match Title,Score
41344906,tenis feminino esportivo actvitta absorção impacto original,tenis feminino esportivo actvitta original absorção impacto,1.0000000000000004
22262638,sapatenis masculino polo lançamento 30 off,sapatenis masculino polo lançamento 30 off,1.0000000000000004
13771536,tenis feminino esportivo actvitta original absorção impacto,tenis feminino esportivo actvitta absorção impacto original,1.0000000000000004
42965333,sapatenis masculino polo lançamento 30 off,sapatenis masculino polo lançamento 30 off,1.0000000000000004
42872890,tênis activtta corrida masculino esportivo cataluna,tênis esportivo activtta masculino cataluna corrida,1.0000000000000002
2492290,tênis converse all star cano alto,tênis converse all star cano alto,1.0000000000000002
7817421,tênis olympikus proof 2 preto/chumbo caminhada masculino,tênis masculino proof 2 olympikus preto/chumbo caminhada,1.0000000000000002
23887924,tênis salomon feminino speedcross 5,tênis speedcross 5 feminino salomon,1.0000000000000002
45017725,tênis speedcross 5 feminino salomon,tênis salomon feminino speedcross 5,1.0000000000000002
20487810,tênis converse all star cano alto,tênis converse all star cano alto,1.0000000000000002
23661975,tênis feminino caminhada corrida academia esportivo,tênis esportivo feminino academia corrida caminhada,1.0000000000000002
34526494,tênis esportivo activtta masculino cataluna corrida,tênis activtta corrida masculino esportivo cataluna,1.0000000000000002
2164454,tenis d g milano,tenis d g milano,1.0000000000000002
41582713,tenis infantil feminino escolar menina escola h original,tenis infantil feminino escolar menina escola d original,1.0000000000000002
10040750,tênis esportivo feminino academia corrida caminhada,tênis feminino caminhada corrida academia esportivo,1.0000000000000002
41490659,tênis feminino branco confortável,tênis branco feminino confortável,1.0000000000000002
6932984,tenis infantil feminino escolar menina escola d original,tenis infantil feminino escolar menina escola h original,1.0000000000000002
37854030,balenciaga tênis triple s,tênis balenciaga triple,1.0000000000000002
28059766,tênis balenciaga triple,balenciaga tênis triple s,1.0000000000000002
24819580,tenis d g milano,tenis d g milano,1.0000000000000002
32816902,tênis polo farm 921 masculino 1,tênis polo farm 921 masculino 2,1.0000000000000002
10755700,tênis feminino flatform espadrille beira rio 4232100,tênis feminino flatform espadrille beira rio 4232100,1.0000000000000002
36789503,tênis polo farm 921 masculino 2,tênis polo farm 921 masculino 1,1.0000000000000002
35997095,sapatilha absolute mtb wild preto/vermelho,sapatilha mtb absolute wild preto/vermelho,1.0000000000000002
15575851,tênis feminino flatform espadrille beira rio 4232100,tênis feminino flatform espadrille beira rio 4232100,1.0000000000000002
37529336,tênis plataforma jean feminino zíper pronta entrega,tênis plataforma jean feminino zíper-pronta entrega,1.0000000000000002
15311711,tênis plataforma jean feminino zíper-pronta entrega,tênis plataforma jean feminino zíper pronta entrega,1.0000000000000002
13185666,tênis olympikus easy feminino academia caminhada conforto650,tênis easy olympikus feminino academia caminhada conforto650,1.0000000000000002
44422991,sapatilha mtb absolute wild preto/vermelho,sapatilha absolute mtb wild preto/vermelho,1.0000000000000002
221816,tênis branco feminino confortável,tênis feminino branco confortável,1.0000000000000002
21782883,tênis easy olympikus feminino academia caminhada conforto650,tênis olympikus easy feminino academia caminhada conforto650,1.0000000000000002
